InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country
556731,23209,LUNCH BAG DOILEY PATTERN,2,1.65,18283.0,United Kingdom
565478,84818,DANISH ROSE PHOTO FRAME,2,0.79,15005.0,United Kingdom
538207,22816,CARD MOTORBIKE SANTA,12,0.42,12748.0,United Kingdom
556106,23275,SET OF 3 HANGING OWLS OLLIE BEAK,3,1.25,14056.0,United Kingdom
563076,23203,JUMBO BAG VINTAGE DOILY,200,1.79,14646.0,Netherlands
546622,21934,SKULL SHOULDER BAG,2,1.65,17954.0,United Kingdom
542895,22939,APRON APPLE DELIGHT,2,4.95,14549.0,United Kingdom
546249,20713,JUMBO BAG OWLS,1,1.95,14606.0,United Kingdom
546643,22377,BOTTLE BAG RETROSPOT,5,2.1,16214.0,United Kingdom
572452,23251,VINTAGE RED ENAMEL TRIM MUG,12,1.25,12921.0,United Kingdom
576593,22744,MAKE YOUR OWN MONSOON CARD KIT,1,2.95,15720.0,United Kingdom
541847,48111,DOORMAT 3 SMILEY CATS,1,7.95,15443.0,United Kingdom
545978,20719,WOODLAND CHARLOTTE BAG,4,0.85,13975.0,United Kingdom
564133,23209,LUNCH BAG VINTAGE DOILY,20,1.65,14364.0,United Kingdom
555560,20724,RED RETROSPOT CHARLOTTE BAG,6,0.85,17346.0,United Kingdom
540406,85099B,JUMBO BAG RED RETROSPOT,100,1.65,13798.0,United Kingdom
579287,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,13496.0,United Kingdom
537155,85179A,GREEN BITTY LIGHT CHAIN,2,4.65,12748.0,United Kingdom
575905,84926A,WAKE UP COCKEREL TILE COASTER,24,0.29,13732.0,United Kingdom
549316,16237,SLEEPING CAT ERASERS,30,0.21,12705.0,Germany
551150,22413,METAL SIGN TAKE IT OR LEAVE IT,12,2.95,18144.0,United Kingdom
546543,22602,RETROSPOT WOODEN HEART DECORATION,1,0.85,17841.0,United Kingdom
561382,22801,ANTIQUE GLASS PEDESTAL BOWL,2,3.75,16750.0,United Kingdom
568069,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,13336.0,United Kingdom
551693,22360,GLASS JAR ENGLISH CONFECTIONERY,6,2.95,15582.0,United Kingdom
558194,85214,TUB 24 PINK FLOWER PEGS,1,1.65,14583.0,United Kingdom
565595,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,5.45,13192.0,United Kingdom
552721,22921,HERB MARKER CHIVES,12,0.65,14691.0,United Kingdom
547730,21175,GIN + TONIC DIET METAL SIGN,4,2.55,14796.0,United Kingdom
541518,21883,STARS GIFT TAPE,24,0.19,12451.0,Switzerland
571418,20725,LUNCH BAG RED RETROSPOT,1,1.65,16412.0,United Kingdom
572323,23437,50'S CHRISTMAS GIFT BAG LARGE,12,1.25,14312.0,United Kingdom
562928,17003,BROCADE RING PURSE,36,0.29,15494.0,United Kingdom
541266,22988,SOLDIERS EGG CUP,12,1.25,15673.0,United Kingdom
574331,16161U,WRAP SUKI AND FRIENDS,25,0.42,13178.0,United Kingdom
563733,23343,JUMBO BAG VINTAGE CHRISTMAS,10,2.08,18225.0,United Kingdom
575958,84596F,SMALL MARSHMALLOWS PINK BOWL,1,0.42,15021.0,United Kingdom
574909,22120,WELCOME  WOODEN BLOCK LETTERS,2,9.95,13673.0,United Kingdom
571883,22494,EMERGENCY FIRST AID TIN,1,1.25,14704.0,United Kingdom
575726,22738,RIBBON REEL SNOWY VILLAGE,5,1.65,16791.0,United Kingdom
578341,22561,WOODEN SCHOOL COLOURING SET,96,1.65,16966.0,United Kingdom
536990,22383,LUNCH BAG SUKI  DESIGN,10,1.65,12793.0,Portugal
538523,22530,MAGIC DRAWING SLATE DOLLY GIRL,24,0.42,13198.0,United Kingdom
557278,22784,LANTERN CREAM GAZEBO,12,4.25,13089.0,United Kingdom
556198,22197,SMALL POPCORN HOLDER,25,0.85,14963.0,United Kingdom
553702,21181,PLEASE ONE PERSON METAL SIGN,3,2.1,13263.0,United Kingdom
546982,22421,LIPSTICK PEN FUSCHIA,2,0.42,15483.0,United Kingdom
566783,23319,BOX OF 6 MINI 50'S CRACKERS,6,2.49,13539.0,United Kingdom
577057,22632,HAND WARMER RED RETROSPOT,1,2.1,12748.0,United Kingdom
572192,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1,1.25,18118.0,United Kingdom
542112,21865,PINK UNION JACK  PASSPORT COVER,1,2.1,13168.0,United Kingdom
580178,22677,FRENCH BLUE METAL DOOR SIGN 2,20,1.19,16013.0,United Kingdom
578033,23480,MINI LIGHTS WOODLAND MUSHROOMS,8,3.75,12656.0,France
569887,23131,MISTLETOE HEART WREATH CREAM,4,4.15,13882.0,United Kingdom
566781,23157,SET OF 6 NATIVITY MAGNETS,12,2.08,17333.0,United Kingdom
578250,21828,EIGHT PIECE SNAKE  SET,1,1.25,15901.0,United Kingdom
576672,22382,LUNCH BAG SPACEBOY DESIGN,30,1.65,12731.0,France
568831,23091,ZINC HERB GARDEN CONTAINER,2,6.25,16059.0,United Kingdom
570126,23405,HOME SWEET HOME 2 DRAWER CABINET,1,4.95,16910.0,United Kingdom
537421,22812,PACK 3 BOXES CHRISTMAS PANNETONE,4,1.95,17218.0,United Kingdom
558705,22335,HEART DECORATION PAINTED ZINC,1,0.65,12748.0,United Kingdom
574734,22971,QUEENS GUARD COFFEE MUG,3,2.55,15025.0,United Kingdom
562607,84879,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,12885.0,United Kingdom
552528,22431,WATERING CAN BLUE ELEPHANT,3,1.95,17218.0,United Kingdom
561617,23298,SPOTTY BUNTING,3,4.95,18237.0,United Kingdom
562928,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2.1,15494.0,United Kingdom
568013,23340,VINTAGE CHRISTMAS CAKE FRILL,12,1.65,17480.0,United Kingdom
542601,22192,BLUE DINER WALL CLOCK,1,8.5,16897.0,United Kingdom
575766,21733,RED HANGING HEART T-LIGHT HOLDER,3,2.95,12856.0,United Kingdom
557026,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,1.45,16571.0,United Kingdom
572336,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2.95,13523.0,United Kingdom
555845,22535,MAGIC DRAWING SLATE BUNNIES,1,0.42,17015.0,United Kingdom
560570,23294,SET OF 6 SNACK LOAF BAKING CASES,16,0.83,16112.0,United Kingdom
569021,23239,SET OF 4 KNICK KNACK TINS POPPIES,12,4.15,15321.0,United Kingdom
580720,23284,DOORMAT KEEP CALM AND COME IN,2,8.25,14629.0,United Kingdom
561868,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,5,0.75,16813.0,United Kingdom
560248,23309,SET OF 60 I LOVE LONDON CAKE CASES,12,0.55,16255.0,United Kingdom
543626,85152,HAND OVER THE CHOCOLATE   SIGN,6,2.1,15796.0,United Kingdom
569247,22725,ALARM CLOCK BAKELIKE CHOCOLATE,12,3.75,17924.0,United Kingdom
569528,23439,HAND WARMER RED LOVE HEART,5,2.1,16242.0,United Kingdom
556642,21668,RED STRIPE CERAMIC DRAWER KNOB,6,1.25,17236.0,United Kingdom
547623,47580,TEA TIME DES TEA COSY,6,2.55,15641.0,United Kingdom
568177,23366,SET 12 COLOURING PENCILS DOILY,16,0.65,13536.0,United Kingdom
563590,22979,PANTRY WASHING UP BRUSH,168,1.65,17450.0,United Kingdom
574663,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,3.75,13527.0,United Kingdom
551558,23004,TRAVEL CARD WALLET PANTRY,1,0.42,17841.0,United Kingdom
558888,23208,LUNCH BAG VINTAGE LEAF DESIGN,6,1.65,14056.0,United Kingdom
568061,22464,HANGING METAL HEART LANTERN,1,1.65,16910.0,United Kingdom
559360,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,3.25,14657.0,United Kingdom
543121,22745,POPPY'S PLAYHOUSE BEDROOM,6,2.1,12662.0,Germany
557305,21080,SET/20 RED RETROSPOT PAPER NAPKINS,1,0.85,13568.0,United Kingdom
566020,22839,3 TIER CAKE TIN GREEN AND CREAM,2,14.95,13925.0,United Kingdom
547730,82582,AREA PATROLLED METAL SIGN,2,2.1,14796.0,United Kingdom
553515,21165,BEWARE OF THE CAT METAL SIGN,2,1.69,17515.0,United Kingdom
543037,21864,UNION JACK FLAG PASSPORT COVER,12,2.1,12350.0,Norway
551346,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,1.95,12362.0,Belgium
540458,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,12501.0,Germany
567675,23322,LARGE WHITE HEART OF WICKER,6,2.95,15351.0,United Kingdom
552643,23136,IVORY WIRE SWEETHEART LETTER TRAY,1,3.75,16791.0,United Kingdom
563216,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,2,1.25,17841.0,United Kingdom
547382,21165,BEWARE OF THE CAT METAL SIGN,2,1.69,15457.0,United Kingdom
573876,22417,PACK OF 60 SPACEBOY CAKE CASES,1,0.55,16360.0,United Kingdom
573337,48188,DOORMAT WELCOME PUPPIES,10,7.08,17018.0,United Kingdom
564061,23209,LUNCH BAG VINTAGE DOILY,4,1.65,14505.0,United Kingdom
578809,22151,PLACE SETTING WHITE HEART,24,0.42,13048.0,United Kingdom
566724,23110,PARISIENNE KEY CABINET,2,5.75,14284.0,United Kingdom
562964,21754,HOME BUILDING BLOCK WORD,3,5.95,13488.0,United Kingdom
577074,22944,CHRISTMAS METAL POSTCARD WITH BELLS,72,0.39,15399.0,United Kingdom
579779,22470,HEART OF WICKER LARGE,6,2.95,17737.0,United Kingdom
563180,47504K,ENGLISH ROSE GARDEN SECATEURS,12,0.79,16209.0,United Kingdom
552025,21530,DAIRY MAID TOASTRACK,5,0.79,13969.0,United Kingdom
569246,22367,CHILDRENS APRON SPACEBOY DESIGN,1,4.13,14096.0,United Kingdom
543631,84993B,75 BLACK PETIT FOUR CASES,3,0.42,14081.0,United Kingdom
552961,22924,FRIDGE MAGNETS LA VIE EN ROSE,12,0.85,15489.0,United Kingdom
564058,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,36,0.83,17676.0,United Kingdom
578548,22593,CHRISTMAS GINGHAM STAR,2,0.85,17345.0,United Kingdom
575637,22834,HAND WARMER BABUSHKA DESIGN,5,2.1,16904.0,United Kingdom
541518,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,0.42,12451.0,Switzerland
562031,21407,BROWN CHECK CAT DOORSTOP,2,4.25,16984.0,United Kingdom
541225,84050,PINK HEART SHAPE EGG FRYING PAN,13,1.65,14099.0,United Kingdom
564307,23289,DOLLY GIRL CHILDRENS BOWL,4,1.25,17865.0,United Kingdom
574511,22694,WICKER STAR,6,2.1,15597.0,United Kingdom
537214,20963,APPLE BATH SPONGE,10,1.25,16422.0,United Kingdom
537423,22595,CHRISTMAS GINGHAM HEART,24,0.85,14215.0,United Kingdom
546383,22977,DOLLY GIRL CHILDRENS EGG CUP,12,1.25,13654.0,United Kingdom
566869,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,0.55,13658.0,United Kingdom
555650,22423,REGENCY CAKESTAND 3 TIER,3,12.75,14156.0,EIRE
572051,23514,EMBROIDERED RIBBON REEL SALLY,144,1.79,14646.0,Netherlands
